Timestamp,Market,Data Type,Value
1689768000.0,COMPOUND,Borrowed ETH,24214.440199889177
1689789600.0,COMPOUND,Supplied rETH,0.0
1689789600.0,COMPOUND,Borrowed ETH,24215.004966791486
1689811200.0,COMPOUND,Supplied rETH,0.0
1689811200.0,COMPOUND,Borrowed ETH,24219.23687027214
1689832800.0,COMPOUND,Supplied rETH,0.0
1689832800.0,COMPOUND,Borrowed ETH,23773.04547912119
1689854400.0,COMPOUND,Supplied rETH,0.0
1689854400.0,COMPOUND,Borrowed ETH,23773.593396512668
1689876000.0,COMPOUND,Supplied rETH,0.0
1689876000.0,COMPOUND,Borrowed ETH,23774.141942473914
1689897600.0,COMPOUND,Supplied rETH,0.0
1689897600.0,COMPOUND,Borrowed ETH,23773.95824661348
1689919200.0,COMPOUND,Supplied rETH,0.0
1689919200.0,COMPOUND,Borrowed ETH,23774.50802157112
1689940800.0,COMPOUND,Supplied rETH,0.0
1689940800.0,COMPOUND,Borrowed ETH,22574.523458775657
1689962400.0,COMPOUND,Supplied rETH,0.0
1689962400.0,COMPOUND,Borrowed ETH,22575.02578485518
1689984000.0,COMPOUND,Supplied rETH,0.0
1689984000.0,COMPOUND,Borrowed ETH,22576.255879460656
1690005600.0,COMPOUND,Supplied rETH,0.0
1690005600.0,COMPOUND,Borrowed ETH,22576.758254135668
1690027200.0,COMPOUND,Supplied rETH,0.0
1690027200.0,COMPOUND,Borrowed ETH,22577.260405262008
1690048800.0,COMPOUND,Supplied rETH,0.0
1690048800.0,COMPOUND,Borrowed ETH,22542.732141058565
1690070400.0,COMPOUND,Supplied rETH,0.0
1690070400.0,COMPOUND,Borrowed ETH,22543.23295297808
1690092000.0,COMPOUND,Supplied rETH,0.0
1690092000.0,COMPOUND,Borrowed ETH,22543.733164172965
1690113600.0,COMPOUND,Supplied rETH,0.0
1690113600.0,COMPOUND,Borrowed ETH,22544.233933758467
1690135200.0,COMPOUND,Supplied rETH,0.0
1690135200.0,COMPOUND,Borrowed ETH,22546.733971013506
1690156800.0,COMPOUND,Supplied rETH,0.0
1690156800.0,COMPOUND,Borrowed ETH,22547.23347045513
1690178400.0,COMPOUND,Supplied rETH,0.0
1690178400.0,COMPOUND,Borrowed ETH,22549.734683196337
1690200000.0,COMPOUND,Supplied rETH,0.0
1690200000.0,COMPOUND,Borrowed ETH,22550.2356776936
1690221600.0,COMPOUND,Supplied rETH,0.0
1690221600.0,COMPOUND,Borrowed ETH,22550.735278216176
1690243200.0,COMPOUND,Supplied rETH,0.0
1690243200.0,COMPOUND,Borrowed ETH,22556.63015384477
1690264800.0,COMPOUND,Supplied rETH,0.0
1690264800.0,COMPOUND,Borrowed ETH,22557.13223833385
1690286400.0,COMPOUND,Supplied rETH,0.0
1690286400.0,COMPOUND,Borrowed ETH,22557.632928143816
1690308000.0,COMPOUND,Supplied rETH,0.0
1690308000.0,COMPOUND,Borrowed ETH,22558.134733697072
1690329600.0,COMPOUND,Supplied rETH,0.0
1690329600.0,COMPOUND,Borrowed ETH,22558.635753848983
1690351200.0,COMPOUND,Supplied rETH,0.0
1690351200.0,COMPOUND,Borrowed ETH,22559.13651805921
1690372800.0,COMPOUND,Supplied rETH,0.0
1690372800.0,COMPOUND,Borrowed ETH,22559.63561423829
1690394400.0,COMPOUND,Supplied rETH,0.0
1690394400.0,COMPOUND,Borrowed ETH,22560.13638430057
1690416000.0,COMPOUND,Supplied rETH,0.0
1690416000.0,COMPOUND,Borrowed ETH,22489.0962253968
1690437600.0,COMPOUND,Supplied rETH,0.0
1690437600.0,COMPOUND,Borrowed ETH,22489.595751553174
1690459200.0,COMPOUND,Supplied rETH,0.0
1690459200.0,COMPOUND,Borrowed ETH,22550.093993375744
1690480800.0,COMPOUND,Supplied rETH,0.0
1690480800.0,COMPOUND,Borrowed ETH,23489.894418685057
1690502400.0,COMPOUND,Supplied rETH,0.0
1690502400.0,COMPOUND,Borrowed ETH,23490.430476455505
1690524000.0,COMPOUND,Supplied rETH,0.0
1690524000.0,COMPOUND,Borrowed ETH,24751.00193970519
1690545600.0,COMPOUND,Supplied rETH,0.0
1690545600.0,COMPOUND,Borrowed ETH,23491.520458771905
1690567200.0,COMPOUND,Supplied rETH,0.0
1690567200.0,COMPOUND,Borrowed ETH,23492.05583784249
1690588800.0,COMPOUND,Supplied rETH,0.0
1690588800.0,COMPOUND,Borrowed ETH,23492.59084203113
1690610400.0,COMPOUND,Supplied rETH,0.0
1690610400.0,COMPOUND,Borrowed ETH,23493.12696221531
1690632000.0,COMPOUND,Supplied rETH,0.0
1690632000.0,COMPOUND,Borrowed ETH,23493.661296078048
1690653600.0,COMPOUND,Supplied rETH,0.0
1690653600.0,COMPOUND,Borrowed ETH,23494.19654934441
1690675200.0,COMPOUND,Supplied rETH,0.0
1690675200.0,COMPOUND,Borrowed ETH,23691.734865601564
1690696800.0,COMPOUND,Supplied rETH,0.0
1690696800.0,COMPOUND,Borrowed ETH,24952.31287572642
1690718400.0,COMPOUND,Supplied rETH,0.0
1690718400.0,COMPOUND,Borrowed ETH,23692.83868804236
1690740000.0,COMPOUND,Supplied rETH,0.0
1690740000.0,COMPOUND,Borrowed ETH,23668.382591462272
1690761600.0,COMPOUND,Supplied rETH,0.0
1690761600.0,COMPOUND,Borrowed ETH,23691.92609008513
1690783200.0,COMPOUND,Supplied rETH,0.0
1690783200.0,COMPOUND,Borrowed ETH,24952.505780722782
1690804800.0,COMPOUND,Supplied rETH,0.0
1690804800.0,COMPOUND,Borrowed ETH,24953.09593222277
1690826400.0,COMPOUND,Supplied rETH,0.0
1690826400.0,COMPOUND,Borrowed ETH,24953.78278042688
1690848000.0,COMPOUND,Supplied rETH,0.0
1690848000.0,COMPOUND,Borrowed ETH,24802.95525152804
1690869600.0,COMPOUND,Supplied rETH,0.0
1690869600.0,COMPOUND,Borrowed ETH,24803.53536379993
1690891200.0,COMPOUND,Supplied rETH,0.0
1690891200.0,COMPOUND,Borrowed ETH,28311.01876006268
1690912800.0,COMPOUND,Supplied rETH,0.0
1690912800.0,COMPOUND,Borrowed ETH,30002.512779979803
1690934400.0,COMPOUND,Supplied rETH,0.0
1690934400.0,COMPOUND,Borrowed ETH,29796.48614992092
1690956000.0,COMPOUND,Supplied rETH,0.0
1690956000.0,COMPOUND,Borrowed ETH,29797.390460381885
1690977600.0,COMPOUND,Supplied rETH,0.0
1690977600.0,COMPOUND,Borrowed ETH,29806.22700363712
1690999200.0,COMPOUND,Supplied rETH,0.0
1690999200.0,COMPOUND,Borrowed ETH,28561.98620026544
1691020800.0,COMPOUND,Supplied rETH,0.0
1691020800.0,COMPOUND,Borrowed ETH,28562.714367484416
1691042400.0,COMPOUND,Supplied rETH,0.0
1691042400.0,COMPOUND,Borrowed ETH,28365.17654833597
1691064000.0,COMPOUND,Supplied rETH,0.0
1691064000.0,COMPOUND,Borrowed ETH,25206.38554659556
1691085600.0,COMPOUND,Supplied rETH,0.0
1691085600.0,COMPOUND,Borrowed ETH,25206.97462699965
1691107200.0,COMPOUND,Supplied rETH,0.0
1691107200.0,COMPOUND,Borrowed ETH,25207.561059814565
1691128800.0,COMPOUND,Supplied rETH,0.0
1691128800.0,COMPOUND,Borrowed ETH,25208.15359257043
1691150400.0,COMPOUND,Supplied rETH,0.0
1691150400.0,COMPOUND,Borrowed ETH,25208.745137771723
1691172000.0,COMPOUND,Supplied rETH,0.0
1691172000.0,COMPOUND,Borrowed ETH,25209.33606368956
1691193600.0,COMPOUND,Supplied rETH,0.0
1691193600.0,COMPOUND,Borrowed ETH,25159.73198192413
1691215200.0,COMPOUND,Supplied rETH,0.0
1691215200.0,COMPOUND,Borrowed ETH,25160.321259077304
1691236800.0,COMPOUND,Supplied rETH,0.0
1691236800.0,COMPOUND,Borrowed ETH,22705.8285076786
1691258400.0,COMPOUND,Supplied rETH,0.0
1691258400.0,COMPOUND,Borrowed ETH,22706.32207854421
1691280000.0,COMPOUND,Supplied rETH,0.0
1691280000.0,COMPOUND,Borrowed ETH,22282.970731516947
1691301600.0,COMPOUND,Supplied rETH,0.0
1691301600.0,COMPOUND,Borrowed ETH,22283.451040981214
1691323200.0,COMPOUND,Supplied rETH,0.0
1691323200.0,COMPOUND,Borrowed ETH,24368.643911961102
1691344800.0,COMPOUND,Supplied rETH,0.0
1691344800.0,COMPOUND,Borrowed ETH,24459.20279144181
1691366400.0,COMPOUND,Supplied rETH,0.0
1691366400.0,COMPOUND,Borrowed ETH,24459.7649751544
1691388000.0,COMPOUND,Supplied rETH,0.0
1691388000.0,COMPOUND,Borrowed ETH,24460.326239392296
1691409600.0,COMPOUND,Supplied rETH,0.0
1691409600.0,COMPOUND,Borrowed ETH,24521.982823477032
1691431200.0,COMPOUND,Supplied rETH,0.0
1691431200.0,COMPOUND,Borrowed ETH,24520.546402615382
1691452800.0,COMPOUND,Supplied rETH,0.0
1691452800.0,COMPOUND,Borrowed ETH,25781.416519177885
1691474400.0,COMPOUND,Supplied rETH,0.0
1691474400.0,COMPOUND,Borrowed ETH,25782.039368874102
1691496000.0,COMPOUND,Supplied rETH,0.0
1691496000.0,COMPOUND,Borrowed ETH,23816.148215073896
1691517600.0,COMPOUND,Supplied rETH,0.0
1691517600.0,COMPOUND,Borrowed ETH,24224.926284592915
1691539200.0,COMPOUND,Supplied rETH,0.0
1691539200.0,COMPOUND,Borrowed ETH,24229.504072108044
1691560800.0,COMPOUND,Supplied rETH,0.0
1691560800.0,COMPOUND,Borrowed ETH,24230.08365281957
1691582400.0,COMPOUND,Supplied rETH,0.0
1691582400.0,COMPOUND,Borrowed ETH,22970.458955717284
1691604000.0,COMPOUND,Supplied rETH,0.0
1691604000.0,COMPOUND,Borrowed ETH,22970.989303606628
1691625600.0,COMPOUND,Supplied rETH,0.0
1691625600.0,COMPOUND,Borrowed ETH,23071.52235764077
1691647200.0,COMPOUND,Supplied rETH,0.0
1691647200.0,COMPOUND,Borrowed ETH,23072.05906238708
1691668800.0,COMPOUND,Supplied rETH,0.0
1691668800.0,COMPOUND,Borrowed ETH,23875.377638771188
1691690400.0,COMPOUND,Supplied rETH,0.0
1691690400.0,COMPOUND,Borrowed ETH,23875.94453178411
1691712000.0,COMPOUND,Supplied rETH,0.0
1691712000.0,COMPOUND,Borrowed ETH,23876.50913925128
1691733600.0,COMPOUND,Supplied rETH,0.0
1691733600.0,COMPOUND,Borrowed ETH,25582.140311834377
1691755200.0,COMPOUND,Supplied rETH,0.0
1691755200.0,COMPOUND,Borrowed ETH,25583.80094262094
1691776800.0,COMPOUND,Supplied rETH,0.0
1691776800.0,COMPOUND,Borrowed ETH,25584.45797093832
1691798400.0,COMPOUND,Supplied rETH,0.0
1691798400.0,COMPOUND,Borrowed ETH,25585.21405573404
1691820000.0,COMPOUND,Supplied rETH,0.0
1691820000.0,COMPOUND,Borrowed ETH,25585.97830661276
1691841600.0,COMPOUND,Supplied rETH,0.0
1691841600.0,COMPOUND,Borrowed ETH,24890.696291876127
1691863200.0,COMPOUND,Supplied rETH,0.0
1691863200.0,COMPOUND,Borrowed ETH,23871.61037267668
1691884800.0,COMPOUND,Supplied rETH,0.0
1691884800.0,COMPOUND,Borrowed ETH,23851.38938398748
1691906400.0,COMPOUND,Supplied rETH,0.0
1691906400.0,COMPOUND,Borrowed ETH,23848.382410226088
1691928000.0,COMPOUND,Supplied rETH,0.0
1691928000.0,COMPOUND,Borrowed ETH,22997.017150115946
1691949600.0,COMPOUND,Supplied rETH,0.0
1691949600.0,COMPOUND,Borrowed ETH,22997.64035508516
1691971200.0,COMPOUND,Supplied rETH,0.0
1691971200.0,COMPOUND,Borrowed ETH,22998.326051963413
1691992800.0,COMPOUND,Supplied rETH,0.0
1691992800.0,COMPOUND,Borrowed ETH,23009.21220361884
1692014400.0,COMPOUND,Supplied rETH,0.0
1692014400.0,COMPOUND,Borrowed ETH,20170.303741989475
1692036000.0,COMPOUND,Supplied rETH,0.0
1692036000.0,COMPOUND,Borrowed ETH,20170.84823336877
1692057600.0,COMPOUND,Supplied rETH,0.0
1692057600.0,COMPOUND,Borrowed ETH,20171.39274030245
1692079200.0,COMPOUND,Supplied rETH,0.0
1692079200.0,COMPOUND,Borrowed ETH,20014.55530871312
1692100800.0,COMPOUND,Supplied rETH,0.0
1692100800.0,COMPOUND,Borrowed ETH,17455.43572089183
1692122400.0,COMPOUND,Supplied rETH,0.0
1692122400.0,COMPOUND,Borrowed ETH,17455.859249541623
1692144000.0,COMPOUND,Supplied rETH,0.0
1692144000.0,COMPOUND,Borrowed ETH,17456.28372462416
1692165600.0,COMPOUND,Supplied rETH,0.0
1692165600.0,COMPOUND,Borrowed ETH,17456.708909531244
1692187200.0,COMPOUND,Supplied rETH,0.0
1692187200.0,COMPOUND,Borrowed ETH,17457.573656484896
1692208800.0,COMPOUND,Supplied rETH,0.0
1692208800.0,COMPOUND,Borrowed ETH,17878.11375659998
1692230400.0,COMPOUND,Supplied rETH,0.0
1692230400.0,COMPOUND,Borrowed ETH,19145.564686608614
1692252000.0,COMPOUND,Supplied rETH,0.0
1692252000.0,COMPOUND,Borrowed ETH,21081.74461048821
1692273600.0,COMPOUND,Supplied rETH,0.0
1692273600.0,COMPOUND,Borrowed ETH,19815.241785678387
1692295200.0,COMPOUND,Supplied rETH,0.0
1692295200.0,COMPOUND,Borrowed ETH,19790.363569605142
1692316800.0,COMPOUND,Supplied rETH,0.0
1692316800.0,COMPOUND,Borrowed ETH,21190.4905439218
1692338400.0,COMPOUND,Supplied rETH,0.0
1692338400.0,COMPOUND,Borrowed ETH,21191.087582005275
1692360000.0,COMPOUND,Supplied rETH,0.0
1692360000.0,COMPOUND,Borrowed ETH,19924.57915401135
1692381600.0,COMPOUND,Supplied rETH,0.0
1692381600.0,COMPOUND,Borrowed ETH,20125.1192858932
1692403200.0,COMPOUND,Supplied rETH,0.0
1692403200.0,COMPOUND,Borrowed ETH,18125.20939335422
1692424800.0,COMPOUND,Supplied rETH,0.0
1692424800.0,COMPOUND,Borrowed ETH,17883.205577768993
1692446400.0,COMPOUND,Supplied rETH,0.0
1692446400.0,COMPOUND,Borrowed ETH,17883.99353374888
1692468000.0,COMPOUND,Supplied rETH,0.0
1692468000.0,COMPOUND,Borrowed ETH,17856.434704186144
1692489600.0,COMPOUND,Supplied rETH,0.0
1692489600.0,COMPOUND,Borrowed ETH,17856.87713113243
1692511200.0,COMPOUND,Supplied rETH,0.0
1692511200.0,COMPOUND,Borrowed ETH,17857.320072273313
1692532800.0,COMPOUND,Supplied rETH,0.0
1692532800.0,COMPOUND,Borrowed ETH,17880.76116442115
1692554400.0,COMPOUND,Supplied rETH,0.0
1692554400.0,COMPOUND,Borrowed ETH,17881.20121317922
1692576000.0,COMPOUND,Supplied rETH,0.0
1692576000.0,COMPOUND,Borrowed ETH,18501.65221364878
1692597600.0,COMPOUND,Supplied rETH,0.0
1692597600.0,COMPOUND,Borrowed ETH,18502.109550952948
1692619200.0,COMPOUND,Supplied rETH,0.0
1692619200.0,COMPOUND,Borrowed ETH,18502.57046519692
1692640800.0,COMPOUND,Supplied rETH,0.0
1692640800.0,COMPOUND,Borrowed ETH,18504.955522470475
1692662400.0,COMPOUND,Supplied rETH,0.0
1692662400.0,COMPOUND,Borrowed ETH,18069.412129791694
1692684000.0,COMPOUND,Supplied rETH,0.0
1692684000.0,COMPOUND,Borrowed ETH,18069.85215831757
1692705600.0,COMPOUND,Supplied rETH,0.0
1692705600.0,COMPOUND,Borrowed ETH,18070.301738238915
1692727200.0,COMPOUND,Supplied rETH,0.0
1692727200.0,COMPOUND,Borrowed ETH,18071.34976348412
1692748800.0,COMPOUND,Supplied rETH,0.0
1692748800.0,COMPOUND,Borrowed ETH,20075.439598650617
1692770400.0,COMPOUND,Supplied rETH,0.0
1692770400.0,COMPOUND,Borrowed ETH,20636.99590502601
1692792000.0,COMPOUND,Supplied rETH,0.0
1692792000.0,COMPOUND,Borrowed ETH,19371.38629435254
1692813600.0,COMPOUND,Supplied rETH,0.0
1692813600.0,COMPOUND,Borrowed ETH,19471.78891676588
1692835200.0,COMPOUND,Supplied rETH,0.0
1692835200.0,COMPOUND,Borrowed ETH,19472.19358869321
1692856800.0,COMPOUND,Supplied rETH,0.0
1692856800.0,COMPOUND,Borrowed ETH,19448.453038921
1692878400.0,COMPOUND,Supplied rETH,0.0
1692878400.0,COMPOUND,Borrowed ETH,19448.857115382954
1692900000.0,COMPOUND,Supplied rETH,0.0
1692900000.0,COMPOUND,Borrowed ETH,17448.92016842277
1692921600.0,COMPOUND,Supplied rETH,0.0
1692921600.0,COMPOUND,Borrowed ETH,18711.99001934363
1692943200.0,COMPOUND,Supplied rETH,0.0
1692943200.0,COMPOUND,Borrowed ETH,18712.36857799728
1692964800.0,COMPOUND,Supplied rETH,0.0
1692964800.0,COMPOUND,Borrowed ETH,17447.179865447917
1692986400.0,COMPOUND,Supplied rETH,0.0
1692986400.0,COMPOUND,Borrowed ETH,17447.516021427284
1693008000.0,COMPOUND,Supplied rETH,0.0
1693008000.0,COMPOUND,Borrowed ETH,17447.852927772798
1693029600.0,COMPOUND,Supplied rETH,0.0
1693029600.0,COMPOUND,Borrowed ETH,17448.191542180142
1693051200.0,COMPOUND,Supplied rETH,0.0
1693051200.0,COMPOUND,Borrowed ETH,17848.532908603604
1693072800.0,COMPOUND,Supplied rETH,0.0
1693072800.0,COMPOUND,Borrowed ETH,17869.381443726616
1693094400.0,COMPOUND,Supplied rETH,0.0
1693094400.0,COMPOUND,Borrowed ETH,17876.232008875697
1693116000.0,COMPOUND,Supplied rETH,0.0
1693116000.0,COMPOUND,Borrowed ETH,17876.581512915018
1693137600.0,COMPOUND,Supplied rETH,0.0
1693137600.0,COMPOUND,Borrowed ETH,19143.457055894
1693159200.0,COMPOUND,Supplied rETH,0.0
1693159200.0,COMPOUND,Borrowed ETH,19143.849747810367
1693180800.0,COMPOUND,Supplied rETH,0.0
1693180800.0,COMPOUND,Borrowed ETH,19144.2411459798
1693202400.0,COMPOUND,Supplied rETH,0.0
1693202400.0,COMPOUND,Borrowed ETH,19144.612597240823
1693224000.0,COMPOUND,Supplied rETH,0.0
1693224000.0,COMPOUND,Borrowed ETH,17875.68525549591
1693245600.0,COMPOUND,Supplied rETH,0.0
1693245600.0,COMPOUND,Borrowed ETH,17876.018608572813
1693267200.0,COMPOUND,Supplied rETH,0.0
1693267200.0,COMPOUND,Borrowed ETH,17880.0283475339
1693288800.0,COMPOUND,Supplied rETH,0.0
1693288800.0,COMPOUND,Borrowed ETH,17880.36239035027
1693310400.0,COMPOUND,Supplied rETH,0.0
1693310400.0,COMPOUND,Borrowed ETH,17880.696680645022
1693332000.0,COMPOUND,Supplied rETH,0.0
1693332000.0,COMPOUND,Borrowed ETH,17881.029856669305
1693353600.0,COMPOUND,Supplied rETH,0.0
1693353600.0,COMPOUND,Borrowed ETH,17881.362850999987
1693375200.0,COMPOUND,Supplied rETH,0.0
1693375200.0,COMPOUND,Borrowed ETH,19146.930278749234
1693396800.0,COMPOUND,Supplied rETH,0.0
1693396800.0,COMPOUND,Borrowed ETH,17882.050049612997
1693418400.0,COMPOUND,Supplied rETH,0.0
1693418400.0,COMPOUND,Borrowed ETH,17882.38342228192
1693440000.0,COMPOUND,Supplied rETH,0.0
1693440000.0,COMPOUND,Borrowed ETH,17883.718319534804
1693461600.0,COMPOUND,Supplied rETH,0.0
1693461600.0,COMPOUND,Borrowed ETH,19149.079951776814
1693483200.0,COMPOUND,Supplied rETH,0.0
1693483200.0,COMPOUND,Borrowed ETH,17884.400354207075
1693504800.0,COMPOUND,Supplied rETH,0.0
1693504800.0,COMPOUND,Borrowed ETH,19985.20445016188
1693526400.0,COMPOUND,Supplied rETH,0.0
