Event Type,Transaction Hash,Address,Block Hash,Block Number,Reserve,User,Amount,On Behalf Of,Borrow Rate,Repayer,useAtokens,To,Target,Asset,Referral Code,Initiator,Premium
Withdraw,0xd754a94a252f84766d68f594b23d8e645e915fa8bd20554bbba7f84a9242fd0e,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf6e215de17770806302ab8c92f3ba599839ee0026c81822d05d7a942b4599222,19139196,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0x1aEcea38B8626EEB3748234343cff427268Dd487,189975444521823772695,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xd754a94a252f84766d68f594b23d8e645e915fa8bd20554bbba7f84a9242fd0e,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf6e215de17770806302ab8c92f3ba599839ee0026c81822d05d7a942b4599222,19139196,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xd754a94a252f84766d68f594b23d8e645e915fa8bd20554bbba7f84a9242fd0e,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf6e215de17770806302ab8c92f3ba599839ee0026c81822d05d7a942b4599222,19139196,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,12602782631354947677,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x65766f094710854808a25f1e1ef336d546faca419da7d429d29aee0fb30f6865,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x4ef27a0931b2dc4e7f68775ec24a3ea768ac240cfb52ac5e4e62ad6e568b66f2,19139487,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xb24f4c1f2ed49cc5d379a4a085f292d7caffde7009ff2b363e0169286e31e5b4,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x4ef27a0931b2dc4e7f68775ec24a3ea768ac240cfb52ac5e4e62ad6e568b66f2,19139487,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0x1aEcea38B8626EEB3748234343cff427268Dd487,2912012104328353676449,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xb24f4c1f2ed49cc5d379a4a085f292d7caffde7009ff2b363e0169286e31e5b4,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x4ef27a0931b2dc4e7f68775ec24a3ea768ac240cfb52ac5e4e62ad6e568b66f2,19139487,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xb24f4c1f2ed49cc5d379a4a085f292d7caffde7009ff2b363e0169286e31e5b4,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x4ef27a0931b2dc4e7f68775ec24a3ea768ac240cfb52ac5e4e62ad6e568b66f2,19139487,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,179971457259699521262,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x93add46e0a0d81bc0c9100286c5845a579d5ec1304264ad31a137609a3632907,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xa847d6a1a5ece21f83378698ccc2c5e0c2463c2de5fa6e844f04583dfac16762,19140567,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xc6f58c37dff56c915561fac9d2daa79cf6200f3f0b9e86f892bed596dc9d7acb,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xa847d6a1a5ece21f83378698ccc2c5e0c2463c2de5fa6e844f04583dfac16762,19140567,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xc6f58c37dff56c915561fac9d2daa79cf6200f3f0b9e86f892bed596dc9d7acb,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xa847d6a1a5ece21f83378698ccc2c5e0c2463c2de5fa6e844f04583dfac16762,19140567,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,178351554428434094509,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xd7fcc25e0181e4305fe0944d21c09b921fa76499c6ea31e784bf960070caf9f8,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xda8bb03b7a148c5655e86fcc0a9706f8873e3625edb1e2407b52e6671165525d,19142116,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xc0762228e43c560930b294fcf3fae7ea83e9b10bce2d51cfb605808df4da0363,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xda8bb03b7a148c5655e86fcc0a9706f8873e3625edb1e2407b52e6671165525d,19142116,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,2000486900148230217048,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xc0762228e43c560930b294fcf3fae7ea83e9b10bce2d51cfb605808df4da0363,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xda8bb03b7a148c5655e86fcc0a9706f8873e3625edb1e2407b52e6671165525d,19142116,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xc0762228e43c560930b294fcf3fae7ea83e9b10bce2d51cfb605808df4da0363,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xda8bb03b7a148c5655e86fcc0a9706f8873e3625edb1e2407b52e6671165525d,19142116,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,108155325339950385039,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xf25b6d2b8cf2b022d43f1a28377e700d744db7b371bb01a277abb6833f4a1d73,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x07d4b9b6776ce289d92bad3b2e38a67c39d77584310fab060f971bdbb975e5af,19143968,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x3f60dfbe2b507ff4f0f381faf0ebea5be0f27fc9c2a93eed3bac14e01db7eb33,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x07d4b9b6776ce289d92bad3b2e38a67c39d77584310fab060f971bdbb975e5af,19143968,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x3f60dfbe2b507ff4f0f381faf0ebea5be0f27fc9c2a93eed3bac14e01db7eb33,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x07d4b9b6776ce289d92bad3b2e38a67c39d77584310fab060f971bdbb975e5af,19143968,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,1008297313526125700,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xf1d2e9da40f9218c3696a04feeedd363a84a3dc7497e7a5907843a37dce937de,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x49e9fac8207bc602e7dfbc0de354d3c1e550dd233c823cbde86a6da43cf2739c,19143971,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x284a051543d8a22edfc6d2067127d055c2c4a4ff14c0663cc12f3224bcc6bac0,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x49e9fac8207bc602e7dfbc0de354d3c1e550dd233c823cbde86a6da43cf2739c,19143971,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
